,Year,Month,Common_Words,Word_Count
444,1986,10,witnesses,4.333333333333334
445,1986,10,fall,4.333333333333334
446,1986,10,orange,4.333333333333334
447,1986,10,side,4.333333333333334
448,1986,10,sky,4.333333333333334
449,1986,10,move,4.333333333333334
450,1986,10,fast,4.333333333333334
451,1986,10,stop,4.333333333333334
452,1988,10,craft,11.0
453,1988,10,night,8.5
454,1988,10,object,7.25
455,1988,10,sky,7.25
456,1988,10,shaped,7.25
457,1988,10,lights,6.0
458,1988,10,saw,6.0
459,1988,10,light,6.0
460,1988,10,silent,4.75
461,1988,10,triangular,4.75
462,1988,10,seen,4.75
463,1988,10,huge,4.75
464,1988,10,speed,4.75
465,1988,10,still,3.5
466,1988,10,Three,3.5
467,1988,10,Move,3.5
468,1988,10,witnesses,3.5
469,1988,10,Large,3.5
470,1988,10,flying,3.5
471,1988,10,moon,3.5
472,1989,10,object,11.0
473,1989,10,shaped,7.25
474,1989,10,sky,6.0
475,1989,10,seen,6.0
476,1989,10,craft,6.0
477,1989,10,lights,6.0
478,1989,10,bright,6.0
479,1989,10,silent,4.75
480,1989,10,sphere,4.75
481,1989,10,3,4.75
482,1989,10,objects,4.75
483,1989,10,side,4.75
484,1989,10,moving,4.75
485,1989,10,light,4.75
486,1989,10,flying,4.75
487,1989,10,Highway,3.5
488,1989,10,glowing,3.5
489,1989,10,Triangle,3.5
490,1989,10,1989,3.5
491,1989,10,HBCCUFO,3.5
492,1990,10,object,11.0
493,1990,10,light,8.142857142857142
494,1990,10,objects,8.142857142857142
495,1990,10,1,6.714285714285714
496,1990,10,shaped,6.714285714285714
497,1990,10,lights,6.714285714285714
498,1990,10,sky,5.285714285714286
499,1990,10,feet,5.285714285714286
500,1990,10,craft,5.285714285714286
501,1990,10,white,5.285714285714286
502,1990,10,moving,5.285714285714286
503,1990,10,around,5.285714285714286
504,1990,10,seconds,5.285714285714286
505,1990,10,Sound,3.857142857142857
506,1990,10,oval,3.857142857142857
507,1990,10,mile,3.857142857142857
508,1990,10,away,3.857142857142857
509,1990,10,triangle,3.857142857142857
510,1990,10,distance,3.857142857142857
511,1990,10,luminous,3.857142857142857
512,1991,10,lights,11.0
513,1991,10,friend,8.5
514,1991,10,shaped,8.5
515,1991,10,one,8.5
516,1991,10,observed,6.0
517,1991,10,objects,6.0
518,1991,10,3,6.0
519,1991,10,north,6.0
520,1991,10,around,6.0
521,1991,10,clear,6.0
522,1991,10,craft,6.0
523,1991,10,standing,3.5
524,1991,10,shore,3.5
525,1991,10,Pamlico,3.5
526,1991,10,sound,3.5
527,1991,10,4,3.5
528,1991,10,moving,3.5
529,1991,10,motions,3.5
530,1991,10,30,3.5
531,1991,10,triangular,3.5
532,1992,10,light,11.0
533,1992,10,lights,9.333333333333334
534,1992,10,object,9.333333333333334
535,1992,10,saw,9.333333333333334
536,1992,10,UFO,7.666666666666667
537,1992,10,night,6.0
538,1992,10,move,6.0
539,1992,10,sky,6.0
540,1992,10,one,6.0
541,1992,10,objects,6.0
542,1992,10,road,4.333333333333334
543,1992,10,emerges,4.333333333333334
544,1992,10,field,4.333333333333334
545,1992,10,Black,4.333333333333334
546,1992,10,driving,4.333333333333334
547,1992,10,watched,4.333333333333334
548,1992,10,car,4.333333333333334
549,1992,10,Report,4.333333333333334
550,1992,10,formation,4.333333333333334
551,1992,10,change,4.333333333333334
552,1993,10,lights,11.0
553,1993,10,object,9.571428571428571
554,1993,10,light,5.285714285714286
555,1993,10,red,5.285714285714286
556,1993,10,reported,5.285714285714286
557,1993,10,Light,3.857142857142857
558,1993,10,saw,3.857142857142857
559,1993,10,fly,3.857142857142857
560,1993,10,us,3.857142857142857
561,1993,10,possible,3.857142857142857
562,1993,10,sound,3.857142857142857
563,1993,10,black,3.857142857142857
564,1993,10,twice,3.857142857142857
565,1993,10,miles,3.857142857142857
566,1993,10,something,3.857142857142857
567,1993,10,happened,3.857142857142857
568,1993,10,never,3.857142857142857
569,1993,10,white,3.857142857142857
570,1993,10,woke,2.428571428571429
571,1993,10,night,2.428571428571429
572,1994,10,light,11.0
573,1994,10,object,10.166666666666666
574,1994,10,sky,10.166666666666666
575,1994,10,bright,6.833333333333333
576,1994,10,white,6.0
577,1994,10,lights,6.0
578,1994,10,car,6.0
579,1994,10,saw,6.0
580,1994,10,sphere,5.166666666666667
581,1994,10,red,5.166666666666667
582,1994,10,night,5.166666666666667
583,1994,10,flying,4.333333333333334
584,1994,10,triangle,4.333333333333334
585,1994,10,hovering,4.333333333333334
586,1994,10,seen,4.333333333333334
587,1994,10,clear,4.333333333333334
588,1994,10,4,4.333333333333334
589,1994,10,aircraft,3.5
590,1994,10,near,3.5
591,1994,10,UFO,3.5
592,1995,10,lights,11.0
593,1995,10,Man,10.545454545454545
594,1995,10,sky,10.545454545454545
595,1995,10,bright,9.181818181818182
596,1995,10,light,9.181818181818182
597,1995,10,obj,7.818181818181818
598,1995,10,white,6.454545454545454
599,1995,10,object,6.454545454545454
600,1995,10,Woman,6.0
601,1995,10,witnesses,6.0
602,1995,10,2,5.545454545454546
603,1995,10,witness,5.545454545454546
604,1995,10,w/,5.545454545454546
605,1995,10,red,5.090909090909091
606,1995,10,large,4.636363636363637
607,1995,10,overhead,4.636363636363637
608,1995,10,craft,4.636363636363637
609,1995,10,repts,4.181818181818182
610,1995,10,Obj,4.181818181818182
611,1995,10,flying,4.181818181818182
612,1996,10,object,11.0
613,1996,10,light,9.88888888888889
614,1996,10,sky,9.88888888888889
615,1996,10,seen,8.777777777777779
616,1996,10,saw,8.777777777777779
617,1996,10,craft,6.555555555555555
618,1996,10,bright,6.555555555555555
619,1996,10,lights,6.555555555555555
